id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00001,Nom_1,Prenom_1,client1@email.com,1996-05-15,0,casa,+212679469011,2023-03-10,Organic
C00002,Nom_2,Prenom_2,client2@email.com,1962-05-15,m,CASABLANCA,+212634803702,2024-10-21,Direct
C00003,Nom_3,Prenom_3,client3@email.com,1956-05-15,f,RABAT,+212654703923,2024-02-24,Paid
C00004,Nom_4,Prenom_4,client4@email.com,1957-05-15,0,Tnja,+212695651750,2023-11-17,Direct
C00005,Nom_5,Prenom_5,client5@email.com,1954-05-15,0,CASABLANCA,+212639112447,2023-04-17,Paid
C00006,Nom_6,Prenom_6,client6@email.com,2002-05-15,0,casa,+212660822519,2023-09-29,Paid
C00007,Nom_7,Prenom_7,client7@email.com,1988-05-15,0,rbat,+212695718229,2024-10-12,Organic
C00008,Nom_8,Prenom_8,client8@email.com,1960-05-15,Homme,RABAT,+212660346333,2023-04-29,Organic
C00009,Nom_9,Prenom_9,client9@email.com,1978-05-15,Femme,TNG,+212667494303,2024-10-27,Direct
C00010,Nom_10,Prenom_10,client10@email.com,1995-05-15,Femme,CASABLANCA,+212633432096,2023-07-01,Social
C00011,Nom_11,Prenom_11,client11@email.com,1963-05-15,Femme,TNG,+212612300426,2024-02-01,Direct
C00012,Nom_12,Prenom_12,client12@email.com,2000-05-15,f,tanger,+212646559029,2024-07-19,Paid
C00013,Nom_13,Prenom_13,client13@email.com,1997-05-15,f,Tnja,+212687737809,2023-11-11,Direct
C00014,Nom_14,Prenom_14,client14@email.com,1999-05-15,0,cbl,+212610899509,2024-08-30,Paid
C00015,Nom_15,Prenom_15,client15@email.com,1981-05-15,Homme,Agadir,+212671560013,2023-12-18,Direct
C00016,Nom_16,Prenom_16,client16@email.com,1951-05-15,m,cbl,+212661231729,2024-07-18,Paid
C00017,Nom_17,Prenom_17,client17@email.com,1955-05-15,f,cbl,+212628665509,2024-09-13,Social
C00018,Nom_18,Prenom_18,client18@email.com,1970-05-15,Femme,tanger,+212693680744,2023-08-23,Organic
C00019,Nom_19,Prenom_19,client19@email.com,1976-05-15,f,RABAT,+212666570396,2023-05-05,Direct
C00020,Nom_20,Prenom_20,client20@email,1956-05-15,Femme,tanger,+212644112030,2024-10-09,Social
C00021,Nom_21,Prenom_21,client21@email.com,1990-05-15,Femme,Tnja,+212665036291,2023-09-03,Social
C00022,Nom_22,Prenom_22,client22@email.com,1995-05-15,Femme,TNG,+212682038245,2023-01-05,Social
C00023,Nom_23,Prenom_23,client23@,1961-05-15,0,casa,+212628965523,2024-08-14,Direct
C00024,Nom_24,Prenom_24,client24@email.com,1991-05-15,f,casa,+212685168829,2024-02-15,Organic
C00025,Nom_25,Prenom_25,client25@email.com,1972-05-15,0,RABAT,+212633873326,2024-06-03,Direct
C00026,Nom_26,Prenom_26,client26@email.com,1951-05-15,m,cbl,+212646749105,2024-04-02,Direct
C00027,Nom_27,Prenom_27,client27@email.com,1986-05-15,f,TANGER,+212662131230,2024-10-24,Organic
C00028,Nom_28,Prenom_28,client28@,1962-05-15,Homme,cbl,+212667329584,2023-10-06,Social
C00029,Nom_29,Prenom_29,client29@email.com,1987-05-15,Homme,rbat,+212674261245,2023-10-03,Social
C00030,Nom_30,Prenom_30,client30@email.com,2030-05-15,Femme,CASABLANCA,+212617651906,2024-02-22,Paid
C00031,Nom_31,Prenom_31,client31@email.com,2005-05-15,0,TNG,+212680387063,2023-12-07,Organic
C00032,Nom_32,Prenom_32,client32@email.com,1959-05-15,Femme,TNG,+212680578497,2023-04-02,Direct
C00033,Nom_33,Prenom_33,client33@email.com,1986-05-15,0,TNG,+212671763568,2024-09-17,Social
C00034,Nom_34,Prenom_34,client34@email.com,1970-05-15,m,TANGER,+212631033082,2024-10-28,Organic
C00035,Nom_35,Prenom_35,client35@email.com,1977-05-15,1,casa,+212615569403,2023-10-24,Paid
C00036,Nom_36,Prenom_36,client36@email.com,1960-05-15,Homme,rbat,+212613532397,2024-02-16,Social
C00037,Nom_37,Prenom_37,client37@email.com,1966-05-15,f,CASABLANCA,+212682850502,2024-02-25,Paid
C00038,Nom_38,Prenom_38,client38@email.com,1989-05-15,Femme,tanger,+212633282807,2023-09-30,Paid
C00039,Nom_39,Prenom_39,client39@email.com,1994-05-15,1,cbl,+212656491218,2023-11-07,Organic
C00040,Nom_40,Prenom_40,client40@email.com,1963-05-15,Homme,RABAT,+212664651372,2024-02-06,Social
C00041,Nom_41,Prenom_41,client41@email.com,1998-05-15,m,rbat,+212687342577,2023-02-12,Direct
C00042,Nom_42,Prenom_42,client42@email.com,1950-05-15,f,CASABLANCA,+212650158130,2023-08-03,Paid
C00043,Nom_43,Prenom_43,client43@,1969-05-15,0,TANGER,+212643156673,2024-01-27,Social
C00044,Nom_44,Prenom_44,client44@email.com,1964-05-15,f,Agadir,+212625020495,2024-06-30,Direct
C00045,Nom_45,Prenom_45,client45@email.com,1993-05-15,f,Agadir,+212653437424,2023-10-06,Organic
C00046,Nom_46,Prenom_46,client46@email.com,1982-05-15,0,CASABLANCA,+212669375840,2024-02-21,Organic
C00047,Nom_47,Prenom_47,client47@email.com,1997-05-15,m,TANGER,+212630841162,2024-04-08,Paid
C00048,Nom_48,Prenom_48,client48@email.com,1966-05-15,Femme,tanger,+212618344750,2024-07-12,Direct
C00049,Nom_49,Prenom_49,client49@email.com,1980-05-15,Femme,CASABLANCA,+212633179863,2023-08-27,Paid
C00050,Nom_50,Prenom_50,client50@email.com,1970-05-15,m,TNG,+212634276793,2023-05-08,Social
C00051,Nom_51,Prenom_51,client51@email.com,2004-05-15,Homme,TANGER,+212610059409,2023-07-21,Social
C00052,Nom_52,Prenom_52,client52@email.com,1952-05-15,m,Agadir,+212639094217,2024-10-14,Organic
C00053,Nom_53,Prenom_53,client53@email.com,1974-05-15,Femme,TANGER,+212673451564,2024-11-13,Paid
C00054,Nom_54,Prenom_54,client54@email.com,1977-05-15,Femme,TNG,+212694756132,2024-02-24,Organic
C00055,Nom_55,Prenom_55,client55@email.com,2000-05-15,0,RABAT,+212696280662,2023-10-14,Organic
C00056,Nom_56,Prenom_56,client56@email.com,1992-05-15,0,TANGER,+212665173345,2024-03-24,Social
C00057,Nom_57,Prenom_57,client57@email.com,1990-05-15,1,RABAT,+212624917279,2024-04-13,Paid
C00058,Nom_58,Prenom_58,client58@email.com,2002-05-15,1,rbat,+212629370263,2023-10-12,Paid
C00059,Nom_59,Prenom_59,client59@email.com,1955-05-15,1,TANGER,+212694248592,2024-11-03,Paid
C00060,Nom_60,Prenom_60,client60@email.com,1957-05-15,Femme,RABAT,+212648936824,2024-01-14,Paid
C00061,Nom_61,Prenom_61,client61@email.com,1995-05-15,0,TANGER,+212624861133,2024-08-25,Paid
C00062,Nom_62,Prenom_62,client62@email.com,1968-05-15,1,CASABLANCA,+212699002563,2023-06-07,Direct
C00063,Nom_63,Prenom_63,client63@email.com,1957-05-15,0,TANGER,+212681843295,2024-01-01,Direct
C00064,Nom_64,Prenom_64,client64@email.com,1962-05-15,0,TNG,+212645524010,2023-09-03,Paid
C00065,Nom_65,Prenom_65,client65@,1978-05-15,0,TNG,+212615123915,2024-04-26,Direct
C00066,Nom_66,Prenom_66,client66@email.com,2000-05-15,f,Agadir,+212636605757,2024-03-29,Paid
C00067,Nom_67,Prenom_67,client67@email.com,1977-05-15,Femme,Tnja,+212680539307,2023-05-12,Social
C00068,Nom_68,Prenom_68,client68@email.com,1956-05-15,Homme,casa,+212650986391,2023-12-12,Social
C00069,Nom_69,Prenom_69,client69@email.com,1962-05-15,1,rbat,+212611484581,2024-01-04,Organic
C00070,Nom_70,Prenom_70,client70@email.com,1996-05-15,Femme,casa,+212667671082,2024-11-11,Paid
C00071,Nom_71,Prenom_71,client71@email.com,1989-05-15,Femme,casa,+212638503627,2024-07-07,Social
C00072,Nom_72,Prenom_72,client72@email.com,1990-05-15,1,casa,+212654974840,2024-09-11,Organic
C00073,Nom_73,Prenom_73,client73@email.com,1992-05-15,Femme,TNG,+212686399909,2023-08-06,Social
C00074,Nom_74,Prenom_74,client74@email.com,1971-05-15,Femme,rbat,+212645059707,2024-04-30,Organic
C00075,Nom_75,Prenom_75,client75@email.com,2003-05-15,1,TNG,+212642857614,2024-08-23,Social
C00076,Nom_76,Prenom_76,client76@email.com,1954-05-15,Homme,tanger,+212625970813,2024-11-17,Direct
C00077,Nom_77,Prenom_77,client77@email.com,1964-05-15,m,rbat,+212630903107,2023-11-01,Direct
C00078,Nom_78,Prenom_78,client78@email.com,1991-05-15,0,cbl,+212612119852,2023-03-12,Direct
C00079,Nom_79,Prenom_79,client79@email.com,1978-05-15,0,RABAT,+212630348586,2024-05-15,Organic
C00080,Nom_80,Prenom_80,client80@email.com,1972-05-15,m,tanger,+212667451940,2024-05-16,Paid
C00081,Nom_81,Prenom_81,client81@email.com,1993-05-15,Femme,RABAT,+212630272362,2023-09-28,Social
C00082,Nom_82,Prenom_82,client82@email.com,1971-05-15,m,tanger,+212641397176,2023-11-15,Paid
C00083,Nom_83,Prenom_83,client83@email.com,1994-05-15,1,Tnja,+212638915907,2023-02-26,Social
C00084,Nom_84,Prenom_84,client84@email.com,1976-05-15,m,RABAT,+212644966538,2023-08-07,Social
C00085,Nom_85,Prenom_85,client85@email.com,1971-05-15,0,cbl,+212679880429,2024-01-13,Paid
C00086,Nom_86,Prenom_86,client86@email.com,1959-05-15,Homme,Tnja,+212696826533,2023-09-04,Organic
C00087,Nom_87,Prenom_87,client87@email.com,1984-05-15,0,CASABLANCA,+212612706481,2024-04-15,Social
C00088,Nom_88,Prenom_88,client88@email.com,1985-05-15,Homme,rbat,+212619078043,2023-02-28,Social
C00089,Nom_89,Prenom_89,client89@email.com,1981-05-15,f,cbl,+212663125952,2024-07-27,Direct
C00090,Nom_90,Prenom_90,client90@email.com,1981-05-15,m,TANGER,+212616925117,2023-01-01,Paid
C00091,Nom_91,Prenom_91,client91@email.com,1997-05-15,Homme,cbl,+212647743980,2024-03-12,Organic
C00092,Nom_92,Prenom_92,client92@email.com,1963-05-15,Homme,Agadir,+212692991790,2023-11-27,Organic
C00093,Nom_93,Prenom_93,client93@email.com,1990-05-15,m,RABAT,+212690333976,2024-08-11,Paid
C00094,Nom_94,Prenom_94,client94@email.com,1969-05-15,f,TNG,+212618278137,2024-01-17,Organic
C00095,Nom_95,Prenom_95,client95@email.com,1959-05-15,m,cbl,+212639554161,2023-03-15,Direct
C00096,Nom_96,Prenom_96,client96@email.com,1971-05-15,0,tanger,+212643083736,2023-03-30,Direct
C00097,Nom_97,Prenom_97,client97@email.com,1963-05-15,1,casa,+212633881459,2024-07-11,Organic
C00098,Nom_98,Prenom_98,client98@email.com,1961-05-15,m,Agadir,+212691098467,2024-11-17,Social
C00099,Nom_99,Prenom_99,client99@email.com,1961-05-15,Femme,RABAT,+212680267299,2023-04-02,Paid
C00100,Nom_100,Prenom_100,client100@email.com,1974-05-15,Femme,cbl,+212668851016,2023-11-09,Social
C00101,Nom_101,Prenom_101,client101@email.com,1961-05-15,Homme,casa,+212621223783,2023-05-12,Paid
C00102,Nom_102,Prenom_102,client102@email.com,1950-05-15,m,RABAT,+212649708829,2023-01-31,Social
C00103,Nom_103,Prenom_103,client103@email.com,1957-05-15,0,CASABLANCA,+212626150311,2023-11-26,Paid
C00104,Nom_104,Prenom_104,client104@email.com,1985-05-15,m,TANGER,+212637427883,2024-04-10,Organic
C00105,Nom_105,Prenom_105,client105@email.com,2030-05-15,Femme,tanger,+212657494908,2023-11-01,Paid
C00106,Nom_106,Prenom_106,client106@email.com,1991-05-15,1,Agadir,+212667554078,2024-05-08,Social
C00107,Nom_107,Prenom_107,client107@email.com,1953-05-15,f,CASABLANCA,+212689887928,2024-09-17,Direct
C00108,Nom_108,Prenom_108,client108@email.com,2000-05-15,1,RABAT,+212691682089,2023-08-18,Paid
C00109,Nom_109,Prenom_109,client109@email.com,1974-05-15,f,TNG,+212688247773,2024-11-11,Organic
C00110,Nom_110,Prenom_110,client110@email.com,1956-05-15,Homme,casa,+212650342932,2024-12-01,Paid
C00111,Nom_111,Prenom_111,client111@email.com,1997-05-15,1,TNG,+212628811956,2023-11-12,Social
C00112,Nom_112,Prenom_112,client112@email.com,2000-05-15,f,Agadir,+212675123908,2023-03-09,Organic
C00113,Nom_113,Prenom_113,client113@email.com,1990-05-15,0,Tnja,+212657607936,2024-01-13,Social
C00114,Nom_114,Prenom_114,client114@email.com,1967-05-15,m,RABAT,+212621757118,2024-10-04,Organic
